;Month;Hour;Energy_consumption;Energy_production
104;5;8;0.4449032258064516;1.4823548387096774
105;5;9;0.7747419354838709;2.032
106;5;10;0.5698387096774193;2.4288709677419353
107;5;11;0.6882903225806452;2.568967741935484
108;5;12;0.8435483870967742;2.653483870967742
109;5;13;0.9444516129032258;2.509483870967742
110;5;14;1.242774193548387;2.3614193548387097
111;5;15;1.041483870967742;1.8823870967741936
112;5;16;0.938258064516129;1.4579354838709677
113;5;17;0.6497096774193549;0.9134516129032259
114;5;18;0.6595483870967741;0.3542258064516129
115;5;19;0.7730645161290323;0.0047741935483870965
116;5;20;0.7095806451612903;0.0
117;5;21;0.6565806451612903;0.0
118;5;22;0.718;0.0
119;5;23;0.8190967741935483;0.0
120;6;0;0.6991666666666666;0.0
121;6;1;0.6588333333333334;0.0
122;6;2;0.47609999999999997;0.0
123;6;3;0.43556666666666666;0.0
124;6;4;0.5039333333333333;0.0
125;6;5;0.5342;0.0223
126;6;6;0.48059999999999997;0.4858333333333334
127;6;7;0.4562;1.1342333333333334
128;6;8;0.6093333333333334;1.7283
129;6;9;0.7501333333333334;2.2266666666666666
130;6;10;0.6757666666666666;2.5100333333333333
131;6;11;0.8926333333333333;2.7991666666666664
132;6;12;0.8564666666666666;2.9132000000000002
133;6;13;0.7797333333333333;2.7540666666666667
134;6;14;0.9078333333333333;2.5464333333333333
135;6;15;1.1757333333333333;2.2508333333333335
136;6;16;0.9977333333333334;1.7013
137;6;17;0.8150333333333334;1.1253666666666668
138;6;18;0.7336333333333334;0.5307
139;6;19;0.8161;0.056
140;6;20;0.8994666666666667;0.0
141;6;21;0.8811666666666667;0.0
142;6;22;0.7596666666666666;0.0
143;6;23;0.7637;0.0
144;7;0;1.3903225806451613;0.0
145;7;1;1.2583225806451614;0.0
146;7;2;0.8298709677419355;0.0
147;7;3;0.6853548387096774;0.0
148;7;4;0.5759032258064517;0.0
149;7;5;0.6375806451612903;0.0019677419354838708
150;7;6;0.5784838709677419;0.35335483870967743
151;7;7;0.5760645161290323;1.0494838709677419
152;7;8;0.6562258064516129;1.6988387096774193
153;7;9;0.7700322580645161;2.117967741935484
154;7;10;0.6148709677419355;2.4816774193548388
155;7;11;0.9356451612903226;2.6917741935483868
156;7;12;0.914483870967742;2.7278709677419357
157;7;13;0.9742903225806452;2.614193548387097
158;7;14;1.0611935483870967;2.443741935483871
159;7;15;1.2152258064516128;2.1356129032258067
160;7;16;1.1801612903225807;1.6562580645161291
161;7;17;1.1698064516129034;1.1579354838709677
162;7;18;1.079741935483871;0.529483870967742
163;7;19;1.0154516129032258;0.05119354838709677
164;7;20;1.018;0.0
165;7;21;1.0589032258064517;0.0
166;7;22;1.363516129032258;0.0
167;7;23;1.546709677419355;0.0
168;8;0;0.7725161290322581;0.0
169;8;1;0.6022258064516129;0.0
170;8;2;0.5093225806451612;0.0
171;8;3;0.45461290322580644;0.0
172;8;4;0.49303225806451617;0.0
173;8;5;0.46061290322580645;0.0
174;8;6;0.4374516129032258;0.14387096774193547
175;8;7;0.461;0.7462580645161291
176;8;8;0.6328709677419355;1.380548387096774
177;8;9;0.506774193548387;1.8924838709677418
178;8;10;0.6308709677419354;2.2553548387096773
179;8;11;0.5952580645161291;2.475258064516129
180;8;12;0.5664838709677419;2.601903225806452
181;8;13;0.7905483870967741;2.440935483870968
182;8;14;0.6210645161290322;2.3180967741935485
183;8;15;0.8226451612903225;1.9238709677419354
184;8;16;0.7279677419354839;1.5483870967741935
185;8;17;0.707258064516129;0.8985483870967742
186;8;18;0.5053548387096775;0.2839032258064516
187;8;19;0.590258064516129;0.0005806451612903225
188;8;20;0.7267741935483871;0.0
189;8;21;0.6770967741935483;0.0
190;8;22;0.7744193548387096;0.0
191;8;23;0.7764193548387096;0.0
192;9;0;0.706;0.0
193;9;1;0.5476666666666666;0.0
194;9;2;0.49870000000000003;0.0
195;9;3;0.4521;0.0
196;9;4;0.4062;0.0
197;9;5;0.5304;0.0
198;9;6;0.4599666666666667;0.0121
199;9;7;0.3998;0.4700666666666667
200;9;8;0.7500666666666667;1.1019666666666665
201;9;9;0.5495333333333333;1.5927666666666667
202;9;10;0.6420666666666667;1.9922666666666666
203;9;11;0.7290333333333334;2.1905
204;9;12;0.76;2.3350999999999997
205;9;13;0.7584;2.1516333333333337
206;9;14;0.7212999999999999;2.0412666666666666
207;9;15;0.8897333333333334;1.5980999999999999
208;9;16;0.8554999999999999;1.0625666666666667
209;9;17;0.6226;0.4580666666666667
210;9;18;0.5488333333333333;0.022166666666666668
211;9;19;0.6360666666666667;0.0
212;9;20;0.6831666666666667;0.0
213;9;21;0.7333666666666667;0.0
214;9;22;0.7637666666666667;0.0
215;9;23;0.7255666666666667;0.0
216;10;0;0.7871290322580645;0.0
217;10;1;0.5220322580645161;0.0
218;10;2;0.4600322580645161;0.0
219;10;3;0.4732903225806452;0.0
220;10;4;0.40180645161290324;0.0
221;10;5;0.415;0.0
222;10;6;0.4744838709677419;0.0
223;10;7;0.4746129032258064;0.17274193548387096
224;10;8;0.7630322580645161;0.726741935483871
225;10;9;0.628516129032258;1.2173548387096773
226;10;10;0.6592903225806451;1.6360967741935484
227;10;11;0.6936451612903226;1.8457419354838709
228;10;12;0.7054193548387097;1.7892903225806451
229;10;13;0.9350645161290322;1.8003548387096775
230;10;14;0.8231290322580646;1.4960645161290322
231;10;15;0.6625806451612903;1.032258064516129
232;10;16;0.7780967741935484;0.5469354838709677
233;10;17;0.5034193548387097;0.059838709677419354
234;10;18;0.5106129032258064;0.0
235;10;19;0.6229032258064515;0.0
236;10;20;0.6401612903225806;0.0
237;10;21;0.8453548387096774;0.0
238;10;22;0.6301612903225806;0.0
239;10;23;0.6325483870967743;0.0
240;11;0;1.0635666666666668;0.0
241;11;1;0.7368333333333333;0.0
242;11;2;0.7073333333333333;0.0
243;11;3;0.6208666666666667;0.0
244;11;4;0.5874;0.0
245;11;5;0.5437666666666666;0.0
246;11;6;0.6568666666666666;0.0
247;11;7;0.8454666666666667;0.003966666666666666
248;11;8;0.5629666666666666;0.29433333333333334
249;11;9;0.7523666666666666;0.7288
250;11;10;0.9975666666666666;0.9715666666666666
251;11;11;1.1945333333333332;1.2015333333333333
252;11;12;1.1797666666666666;1.2314666666666667
253;11;13;1.1561666666666668;1.1772
254;11;14;1.3422666666666667;0.8926333333333333
255;11;15;1.3028000000000002;0.5881333333333333
256;11;16;1.1005666666666667;0.16603333333333334
257;11;17;0.7768666666666667;0.0
258;11;18;0.8768999999999999;0.0
259;11;19;1.0163333333333333;0.0
260;11;20;0.9993;0.0
261;11;21;1.1472666666666667;0.0
262;11;22;1.2962666666666667;0.0
263;11;23;1.1318;0.0
264;12;0;1.571193548387097;0.0
265;12;1;0.7955161290322581;0.0
266;12;2;0.7474838709677419;0.0
267;12;3;0.5960645161290323;0.0
268;12;4;0.6796774193548387;0.0
269;12;5;0.6041290322580646;0.0
270;12;6;0.7339677419354839;0.0
271;12;7;1.0380645161290323;0.0
272;12;8;0.7211935483870967;0.09322580645161291
273;12;9;0.8680322580645161;0.5010645161290322
274;12;10;1.346741935483871;0.8603225806451612
275;12;11;1.1215806451612902;1.1843870967741936
276;12;12;1.340774193548387;1.2288709677419354
277;12;13;1.426516129032258;1.1312258064516127
278;12;14;1.644741935483871;0.8908387096774193
279;12;15;1.7900967741935485;0.4830967741935484
280;12;16;1.490741935483871;0.09325806451612903
281;12;17;1.3392903225806452;0.0
282;12;18;1.3831290322580645;0.0
283;12;19;1.3680967741935484;0.0
284;12;20;1.5376451612903226;0.0
285;12;21;1.5330322580645162;0.0
286;12;22;1.6602258064516129;0.0
287;12;23;1.3830967741935483;0.0
